avaer-1094|completely separate thread and so by accident we were able to get 144fps|completely separate thread and so by accident we were able to get one hundred forty-fourfps
avaer-1481|don't want to have to make avatars I don't want to have to do the voice stuff|don't want to have to make avatars i don't want to have to do the voice stuff
avaer-1617|we have a service worker that's running inside of the page and this HT this web|we have a service worker that's running inside of the page and this ht this web
avaer-1105|dot-com or org I think it is as well as loading hubs dot mozilla.org as well as|dot-com or org i think it is as well as loading hubs dot mozilla.org as well as
avaer-803|got another question from Spidey he says sounds like this relies on some sort of|got another question from spidey he says sounds like this relies on some sort of
avaer-735|go through the oculus store but nobody's using sideload now right so that solves|go through the oculus store but nobody's using sideload now right so that solves
avaer-1748|magnitude it's less than twice as slow in the browser so there is still some|magnitude it's less than twice as slow in the browser so there is still some
avaer-628|execute web and you can have reality tabs in any of your existing projects so|execute web and you can have reality tabs in any of your existing projects so
avaer-1695|VR and AR and there's a lot that we can do with that and exploring what does it|vr and ar and there's a lot that we can do with that and exploring what does it
avaer-1255|to just you know just a Mozilla browser or was everybody|to just you know just a mozilla browser or was everybody
avaer-1601|around CSS HTML react all that goodness and so what I was able to do here is I|around css html react all that goodness and so what i was able to do here is i
avaer-1193|live view that bridges the gap between VR and AR and there's a lot that we can|live view that bridges the gap between vr and ar and there's a lot that we can
avaer-1818|you even design something like this as to the question of will browsers disable|you even design something like this as to the question of will browsers disable
avaer-96|a huge mature industry just designed around CSS HTML react all that goodness|a huge mature industry just designed around css html react all that goodness
avaer-1804|like to participate more in the open XR spec as well I was actually on the WebEx|like to participate more in the open xr spec as well i was actually on the webex
avaer-786|team's talk in terms of spec you know there are different core groups but as|team's talk in terms of spec you know there are different core groups but as
avaer-1973|want the depth of the scenes to be a certain that is an excellent very good|want the depth of the scenes to be a certain that is an excellent very good
avaer-950|standardized on all this is available on all the headsets right now and in fact|standardized on all this is available on all the headsets right now and in fact
avaer-1284|this there's a lot of cross-pollination there but yeah I look forward to reading|this there's a lot of cross-pollination there but yeah i look forward to reading
avaer-553|matter of copy pasting and changing a few lines you can move literal browsers|matter of copy pasting and changing a few lines you can move literal browsers
avaer-1477|we've tested it up to a hundred just at that point the amount of draw calls|we've tested it up to a hundred just at that point the amount of draw calls
avaer-445|soon they're already running and if you deep integration into the guts of the|soon they're already running and if you deep integration into the guts of the
avaer-506|okay it initially started by adding support for web XR and magic leap this|okay it initially started by adding support for web xr and magic leap this
avaer-1448|soon they're already running and if you deep integration into the guts of the|soon they're already running and if you deep integration into the guts of the
avaer-1715|roadmap but there's still some areas where we like to encourage people to|roadmap but there's still some areas where we like to encourage people to
avaer-1679|where you can open up sites and you can program essentially the web XR aspect of|where you can open up sites and you can program essentially the web xr aspect of
avaer-1128|download free thing you will be able to just access a site or even do an import|download free thing you will be able to just access a site or even do an import
avaer-656|this and we have somewhat of a stable virtual world virtual meta world is we|this and we have somewhat of a stable virtual world virtual meta world is we
avaer-1978|here you actually have infinite context we've tested it up to a hundred just at|here you actually have infinite context we've tested it up to a hundred just at
avaer-812|though is like do you want sites to be able to read each other's frame buffer|though is like do you want sites to be able to read each other's frame buffer
avaer-1331|behind it basically each one of these sites is completely isolated from every|behind it basically each one of these sites is completely isolated from every
avaer-69|um you can actually do a full 3d blend that's perfectly framed accurate despite|um you can actually do a full threed blend that's perfectly framed accurate despite
avaer-398|doesn't require that trust doesn't because the iframe trick requires there|doesn't require that trust doesn't because the iframe trick requires there
avaer-548|browser in magiclip it runs inside of a browser on the oculus quest and you|browser in magiclip it runs inside of a browser on the oculus quest and you
avaer-745|magnitude it's less than twice as slow in the browser so there is still some|magnitude it's less than twice as slow in the browser so there is still some
avaer-38|so the iteration of execute that you're looking at here is the latest version|so the iteration of execute that you're looking at here is the latest version
avaer-478|don't want to have to make avatars I don't want to have to do the voice stuff|don't want to have to make avatars i don't want to have to do the voice stuff
avaer-1380|sometimes go viral and the things that I ask them like you don't go anywhere so I|sometimes go viral and the things that i ask them like you don't go anywhere so i
avaer-461|doing okay the reason why I brought this up is can those sub scenes have a like a|doing okay the reason why i brought this up is can those sub scenes have a like a
avaer-382|and one of the entries can be produced in a video and so that's kind of what|and one of the entries can be produced in a video and so that's kind of what
avaer-1959|yep okay so from what I understand with unreal subsystem is that you have|yep okay so from what i understand with unreal subsystem is that you have
avaer-352|and yeah but there is the open question of like what can we do to prevent one of|and yeah but there is the open question of like what can we do to prevent one of
avaer-1210|execute regular I'm sorry imagine the desktop versions you know like why would|execute regular i'm sorry imagine the desktop versions you know like why would
avaer-801|like to participate more in the open XR spec as well I was actually on the WebEx|like to participate more in the open xr spec as well i was actually on the webex
avaer-308|layer is here is doing the right thing so when you access this site you will|layer is here is doing the right thing so when you access this site you will
avaer-1030|website so here we actually see gltf model as well as crypto voxels as well|website so here we actually see gltf model as well as crypto voxels as well
avaer-601|technology of virtual GL and reality tabs another thing that we needed to|technology of virtual gl and reality tabs another thing that we needed to
avaer-1611|sharing so you might think okay well how is this working at all in chrome like|sharing so you might think okay well how is this working at all in chrome like
avaer-535|I don't work with the hub's devs and I don't know anything about HTML really|i don't work with the hub's devs and i don't know anything about html really
avaer-1017|compatible with everything runs on every device and it has huge backing by almost|compatible with everything runs on every device and it has huge backing by almost
avaer-181|api's you can use voice recognition in order to create actual AIS in an actual|api's you can use voice recognition in order to create actual ais in an actual
avaer-1401|doesn't require that trust doesn't because the iframe trick requires there|doesn't require that trust doesn't because the iframe trick requires there
avaer-1587|enabled a feature that allowed us to draw asynchronously HTML into a texture|enabled a feature that allowed us to draw asynchronously html into a texture
avaer-1873|have built this realms API and it allows you to scope objects and what they get|have built this realms api and it allows you to scope objects and what they get
avaer-83|draw asynchronously HTML into a texture and so why would you want something like|draw asynchronously html into a texture and so why would you want something like
avaer-1882|ask them like you don't go anywhere so I have no idea but um I was going to put|ask them like you don't go anywhere so i have no idea but um i was going to put
avaer-244|in the browser so there is still some cases that you would probably need to go|in the browser so there is still some cases that you would probably need to go
avaer-1428|button on your headset in order to effect some sort of input so anywhere on|button on your headset in order to effect some sort of input so anywhere on
avaer-1434|example when you open the iframe everything else would have to disappear|example when you open the iframe everything else would have to disappear
avaer-1910|on top of a GL context at the HTML layer this is not this is not the|on top of a gl context at the html layer this is not this is not the
avaer-908|implementation that we're using here because it's a context I know right now|implementation that we're using here because it's a context i know right now
